Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2025-03-10  227.182083  227.479996  236.160004  224.220001  235.539993   72071200
2025-03-11  220.550781  220.839996  225.839996  217.449997  223.809998   76137400
2025-03-12  216.695831  216.979996  221.750000  214.910004  220.139999   62547500
2025-03-13  209.405396  209.679993  216.839996  208.419998  215.949997   61368300
2025-03-14  213.210419  213.490005  213.949997  209.580002  211.250000   60107600
2025-03-17  213.719742  214.000000  215.220001  209.970001  213.309998   48073400
2025-03-18  212.411453  212.690002  215.149994  211.490005  214.160004   42432400
2025-03-19  214.958115  215.240005  218.759995  213.750000  214.220001   54385400
2025-03-20  213.819611  214.100006  217.490005  212.220001  213.990005   48862900
2025-03-21  217.984146  218.270004  218.839996  211.279999  211.559998   94127800
2025-03-24  220.440918  220.729996  221.479996  218.580002  221.000000   44299500
2025-03-25  223.456970  223.750000  224.100006  220.080002  220.770004   34493600
2025-03-26  221.239868  221.529999  225.020004  220.470001  223.509995   34466100
2025-03-27  223.556839  223.850006  224.990005  220.559998  221.389999   37094800
2025-03-28  217.614624  217.899994  223.809998  217.679993  221.669998   39818600
2025-03-31  221.839096  222.130005  225.619995  216.229996  217.009995   65299300
2025-04-01  222.897705  223.190002  223.679993  218.899994  219.809998   36412700
2025-04-02  223.596786  223.889999  225.190002  221.020004  221.320007   35905900
2025-04-03  202.923904  203.190002  207.490005  201.250000  205.539993  103419000
2025-04-04  188.133301  188.380005  199.880005  187.339996  193.889999  125910900
2025-04-07  181.222366  181.460007  194.149994  174.619995  177.199997  160466300
2025-04-08  172.194199  172.419998  190.339996  169.210007  186.699997  120859500
2025-04-09  198.589584  198.850006  200.610001  171.889999  171.949997  184395900
2025-04-10  190.170624  190.419998  194.779999  183.000000  189.070007  121880000
2025-04-11  197.890488  198.149994  199.539993  186.059998  186.100006   87435900
2025-04-14  202.254776  202.520004  212.940002  201.160004  211.440002  101352900
2025-04-15  201.875275  202.139999  203.509995  199.800003  201.860001   51343900
